wallet,in_degree,out_degree,flow_ratio,pagerank,betweenness
0x0000000000000000000000000000000000000000,25,0,0.0,0.0004764562659962902,0.0
0x000000000000000000000000000000000000dead,1,0,0.0,4.003020649898668e-05,0.0
0x00000000000000000000000000000000000face7,18,0,0.0,0.0003400731224033829,0.0
0x0000000000000000000000000000000001664799,10,0,0.0,0.0002036899788104755,0.0
0x00000000000000adc04c56bf30ac9d3c0aaf14dc,159,0,0.0,0.0028702804829910506,0.0
0x0000000000000f25a072efa232d8efc0b5ce2436,0,1,1.0,2.1845787353265714e-05,0.0
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,1,0,0.0,4.003020649898668e-05,0.0
0x000000000000ad05ccc4f10045630fb830b95127,1,0,0.0,2.6391892139695952e-05,0.0
0x000000000000b91b6956fead1dda24c66aa6b972,1,0,0.0,4.003020649898668e-05,0.0
0x0000000000085d4780b73119b644ae5ecd22b376,3,0,0.0,6.730683521756814e-05,0.0
0x00000000000ea4af05656c17b90f4d64add29e1d,3,0,0.0,7.639904479042862e-05,0.0
0x000000000022d473030f116ddee9f6b43ac78ba3,9,0,0.0,0.00018550555966475452,0.0
0x00000000003b3cc22af3ae1eac0440bcee416b40,2,0,0.0,5.8214625644707654e-05,0.0
0x0000000000450702bc4f750fd1e7ecad7054c4f1,2,0,0.0,4.912241607184718e-05,0.0
0x00000000005bbb0ef59571e58418f9a4357b68a0,1,0,0.0,4.003020649898668e-05,0.0
0x00000000007767d79f9f4aa1ff0d71b8e2e4a231,6,0,0.0,0.00012186009265473106,0.0
0x00000000009726632680fb29d3f7a9734e3010e2,7,0,0.0,0.00014004451180045204,0.0
0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,2,0,0.0,5.8214625644707654e-05,0.0
0x0000000000a39bb272e79075ade125fd351887ac,81,0,0.0,0.0014402304807194994,0.0
0x0000000000a84d1a9b0063a910315c7ffa9cd248,2,0,0.0,5.8214625644707654e-05,0.0
0x0000000000adead599c11a0c9a7475b67852c1d0,1,0,0.0,4.003020649898668e-05,0.0
0x0000000000aec84f5bfc2af15eafb943bf4e3522,1,0,0.0,4.003020649898668e-05,0.0
0x0000000000c2d145a2526bd8c716263bfebe1a72,13,0,0.0,0.0002491510266747779,0.0
0x0000000000e655fae4d56241588680f86e3b2377,2,0,0.0,5.8214625644707654e-05,0.0
0x000000000dfde7deaf24138722987c9a6991e2d4,12,0,0.0,0.00024005881710191746,0.0
0x00000000219ab540356cbb839cbe05303d7705fa,9,0,0.0,0.00018550555966475452,0.0
0x000000004685666c7653cc148f566f0511901b37,1,0,0.0,4.003020649898668e-05,0.0
0x000000008924d42d98026c656545c3c1fb3ad31c,2,0,0.0,5.8214625644707654e-05,0.0
0x00000000a991c429ee2ec6df19d40fe0c80088b8,1,0,0.0,4.003020649898668e-05,0.0
0x00000000d7c185343e6504e428b8f8b5ad6c91b8,0,4,1.0,2.1845787353265714e-05,0.0
0x00000000ede6d8d217c60f93191c060747324bca,1,0,0.0,2.790726040183937e-05,0.0
0x00000000f0b4b9973900fd541719cbbc1a5862d8,1,0,0.0,4.003020649898668e-05,0.0
0x00000000fda4c75bfb5e0f3a75ce3d811b6f6c88,1,0,0.0,4.003020649898668e-05,0.0
0x0000000895cb182e6f983eb4d8b4e0aa0b31ae4c,1,0,0.0,4.003020649898668e-05,0.0
0x000000093e55f433fb57a32aa5d5fe717b3f7ab1,0,1,1.0,2.1845787353265714e-05,0.0
0x0000001d0000f38cc10d0028474a9c180058b091,1,0,0.0,4.003020649898668e-05,0.0
0x000000422a649825bda802b2c212c46127bd96fd,0,1,1.0,2.1845787353265714e-05,0.0
0x00000047bb99ea4d791bb749d970de71ee0b1a34,6,0,0.0,0.000134698659727261,0.0
0x0000006f43b26ba724ae3ddb0c55536d64e5f985,0,1,1.0,2.1845787353265714e-05,0.0
0x0000008710942ee96cc81659c46fabfdb478887b,0,1,1.0,2.1845787353265714e-05,0.0
0x000000b69ea30b4300b83767e25e9bc5170f1573,0,1,1.0,2.1845787353265714e-05,0.0
0x000000d40b595b94918a28b27d1e2c66f43a51d3,5,0,0.0,0.00011276788308187057,0.0
0x000000ec57fa2d45a50905b072d3c31e11300000,1,0,0.0,4.003020649898668e-05,0.0
0x000000ffa51e8fd8dc15c5b77990234810a640e8,0,1,1.0,2.1845787353265714e-05,0.0
0x0000029b72f4407990850cf031eaa807fe200000,1,0,0.0,4.003020649898668e-05,0.0
0x00000cad74214b2771b692b1065f9d0ad7b00000,0,2,1.0,2.1845787353265714e-05,0.0
0x000022e528968de17f8ec16a3128dd403a8f0000,0,4,1.0,2.1845787353265714e-05,0.0
0x00002ddee5038f25d1f73702c5c3bd905b8a0000,4,0,0.0,8.094514957685887e-05,0.0
0x000037bb05b2cef17c6469f4bcdb198826ce0000,1,0,0.0,4.003020649898668e-05,0.0
0x00005a262f9139c49a1196e278ec507c1c710000,0,1,1.0,2.1845787353265714e-05,0.0
0x00005ea00ac477b1030ce78506496e8c2de24bf5,5,0,0.0,0.00010367567350901008,0.0
0x0000c84206a971ba91b6ca790636cff1640d0000,1,0,0.0,4.003020649898668e-05,0.0
0x0000db5c8b030ae20308ac975898e09741e70000,0,1,1.0,2.1845787353265714e-05,0.0
