tx_hash,from,to,amount,block_number,block_time
0x00198cd560aa194b189c9b50a67380dd0798a0919165ca06feab4663220dcc65,0xdb81f2874bcfb183a609cc2e0177d89beb40c4dc,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0.4,18916003,2024-01-02 00:00:23.000 UTC
0x002eacb1b0813fc25483132b11d575165c1a3415d455db5452c316ea4f155057,0x28339cdb3614374767c670e86617de064fc9788e,0x49adcc97404c197190a5866885018c558006974a,0.0,18916006,2024-01-02 00:00:59.000 UTC
0x00862a984dd2015ced956fdf9170a2d366695efb6ea47845f56eece084c471a3,0xdf94ae7475444301dc93c65aa24e580f25c9d051,0x3b95bc951ee0f553ba487327278cac44f29715e5,0.5,18916007,2024-01-02 00:01:11.000 UTC
0x003736ea8d26f84430861c6d8fa9310066ca1915346d715b60593a939af879b9,0x5fb29283c2cf472b86db4f74a2b32f9caf5578a4,0xe1c663ca337c39dcbc8c3b9e0bdf429785b94c75,0.00082785,18916016,2024-01-02 00:03:11.000 UTC
0x00649b2df3f2cf1bd46f36b44de0bc4ec5550bca81a66d72b12f70e88cc651a5,0x6ce2e8cef7b0b049e7969698aa92d0ed088f3449,0x881d40237659c251811cec9c364ef91dc08d300c,0.0,18916022,2024-01-02 00:04:23.000 UTC
0x007bcebe3fa184602ffa048add65601cc63a2a64ccafb8f020ea7a193e08328e,0x44574624e6bab66a3216aab7f34fac51e110cc9f,0x8ab2ff0116a279a99950c66a12298962d152b83c,0.0,18916022,2024-01-02 00:04:23.000 UTC
0x008e116bd92a658d60036381aa4713628564f38584353c5015ac28a9fa3bcd3c,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,18916024,2024-01-02 00:04:47.000 UTC
0x000cd794a5bde2fa02867431fc0a2fe97432efa2532b92db6c2ad0e955f8b2f4,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,0x3c8992113be52fb8431ee471a7e08ef1eb323216,2.98774,18916030,2024-01-02 00:05:59.000 UTC
0x008bd37b19cc8558988fa4d9481558af66e475fad620f8fef8e9853b121976a9,0x6278a890ce1c11e8f46f56b397821b5867cf9c5d,0x02beed1404c69e62b76af6dbdae41bd98bca2eab,0.0,18916033,2024-01-02 00:06:35.000 UTC
0x0001900347ef8e130cbb85450acaf808a8978f6090b3c6dea60624776d83c45d,0x3df2656a3b831e3e54f3bc564ae70191e53ea67b,0xf89d7b9c864f589bbf53a82105107622b35eaa40,1.2100714187424804,18916034,2024-01-02 00:06:47.000 UTC
0x000080caadd09803aaccef3b1c8f1dfc0f4624e3658e44e883a6a9e9330079bd,0x1cc6e4d1fed32d931cc1eb00edb42fab7279b8a8,0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168,1.2516e-14,18916036,2024-01-02 00:07:11.000 UTC
0x0051eb8c1f41cae1c1ebe85ae2b1babf8b9bb9a8f3d692a75069bf02c9fd0fd4,0xb972ed80b4166a83358c8100d657c347d0cd3542,0xde30da39c46104798bb5aa3fe8b9e0e1f348163f,0.0,18916040,2024-01-02 00:08:11.000 UTC
0x0064e999291b5c790311dd2ff5c9cb2fb4a04d37dfd7bb04c3162856b4d44971,0x7202715d01f68ab236fb237f0ae098f86dceec04,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0.02294220670701128,18916054,2024-01-02 00:10:59.000 UTC
