tx_hash,from,to,amount,block_number,block_time
0x2674fda166f0c1f528ca1d6f744a7cf510ca8162dbe79ccbf6002685ddbd3afb,0x11e7465690261d4c88ba135ebd3b17eb29529420,0x1f7b6b19b2cc43726532b3ae16f791ac4cf6a297,0.04735586,19060265,2024-02-10 06:38:20.000 UTC
0x1939ebec00bf7f2f261e217f28e0fd9e4f7d37158ba55e2f19bda5ca0f6322ae,0xf20ba0c92a869922f4927b3536c21bc3d799d80d,0x24940bbdb61ae1b04719c1a8d5672214a23ebe36,0.15471218,18984963,2024-02-10 13:23:54.000 UTC
0xb888a5385840eb7239368f68bf654c5477983209c16a998980d30fe94f7a4469,0x9661a260a20328b4c8a9d010bc0ebd841ff8190b,0xbbeac98e03d0227869fcd18dd26c35685b9a9693,0.21974672,19022644,2024-02-06 18:43:31.000 UTC
0xae354332bea346770ed70a305a5da791ebf42bfa42f093748e19c3140c3887b8,0x4c98f31af6e509e7cefa6fb33f37e2f85cf19855,0x7a7c05fc24a003be177483d07d0fd26dc361b352,0.01690955,18997212,2024-02-11 00:42:32.000 UTC
0x1637401e307c68e03e9a66d68b07475ae92f924a2689e8a816a32906c3e158e1,0xf358fd2632dc492bb302ee04293d6aa3b67ac726,0x258a9c6bf205da82a9f3531b1d053081f9e34f60,0.44781324,19042005,2024-02-06 19:06:46.000 UTC
0x0000054eb47ea54e5d6603e9ba0898220cb2de5f220ad07cd27160cbc81828f9,0x357e925110fa2ef3422a1bd623a74de127ff5e29,0x0000000000000000000000000000000000000000,0.0,19203475,2024-02-11 07:55:35.000 UTC
0x0056b3e62e66192b66e1db887ec7e0624a50624a7346db7c0d8e6e00d8a02427,0x446eb1e851d790a61bba26f64bfe3fd33d98122d,0xd9b4eb1c03a4641cbc792eba947f785f91d28df6,1.0337870645118303,19180450,2024-02-08 02:23:35.000 UTC
0x2792d1f5a08a271dd8d5df0da7d87a89b97cbbfdc935c39b29065111a12f5a8a,0x8080b400f642c2eb67e1145e7163f95c754dd1cc,0x0e769b4a545c77a4e1afa8394f770631d81c5f10,0.04294196,19147279,2024-02-11 03:52:19.000 UTC
0x5b35300dc04f4bd0bcfe44089ac725a740b60c17d7ee15bc6ecd8788a31f6c0f,0xd2f4951539bfdec32bf948ce86a8b4e5dc2fbc8b,0x8f040721e5a5829ecb8c1d76303c1503d4e20134,0.0090591,19033012,2024-02-09 22:53:50.000 UTC
0x00555c49ecff2b8533d29012cd01962091f5d4ae76ad987b87786cc1ec75ddbe,0x283e0d1352c132c87b1f3c591400cf33c0b1d0e1,0x36de22c80c35719c9bd0d0887e7abfe6bedf5522,0.00489028598542,19164440,2024-02-05 20:28:47.000 UTC
0xd0907cddd5497067c533d06ed18d0cf9304e0cd1e0cac9556324bac5a94b37bc,0x0cb33bd877692d60afd74b26313d65ebb0629151,0x537a0039cf26d132648e74dd8c05813ac90c2666,0.04031258,19009626,2024-02-09 04:24:24.000 UTC
0x0035deee1f170ce31df1937119628d3bfed894a756f7eb363fa1d3283b8ea6d9,0x92ab35343fa043225574b23aa344dfcb66faa194,0x06450dee7fd2fb8e39061434babcfc05599a6fb8,0.0,19168834,2024-02-06 11:13:47.000 UTC
0xa0a7f916c7298c4ecde661174d741facf938c93ca38905fd3b6c4438246236fa,0x5ac2a17666edef302fa80808b8f16861e3e3e73b,0x329245ba7df6bc1d6e4928ac19f145cc0244e4d7,0.0106415,19143777,2024-02-07 11:18:26.000 UTC
0x85686b372cace42cd7a26db7a2b77abd363efe1294fed31ebf12c07e80821c7f,0x8de182bd3832557ef69d8ec5877ede314bc9b60e,0xca08c0257c3998b754035a164490a47c3aa7832a,0.00945019,19003266,2024-02-08 04:10:04.000 UTC
0x000006a6219e0b4706571cc087de1c9a108436fa21939d58d78c627c5c841f9f,0xa85af6517b2e34bf6eb514ab6b46554aa88d7cf2,0x0000000000000000000000000000000000000000,0.0,19197019,2024-02-10 10:08:11.000 UTC
